T02,"Population, density and surface area",,,,,
30,Eastern Asia,2021,Population aged 0 to 14 years old (percentage),17.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2021,Population aged 60+ years old (percentage),19.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2021,Population density,145.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2010,Population mid-year estimates (millions),"1,775.36",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2010,Population mid-year estimates for males (millions),916.46,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2010,Population mid-year estimates for females (millions),858.90,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2010,Sex ratio (males per 100 females),106.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2010,Population aged 0 to 14 years old (percentage),31.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2010,Population aged 60+ years old (percentage),7.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2010,Population density,171.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2015,Population mid-year estimates (millions),"1,896.33",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2015,Population mid-year estimates for males (millions),977.50,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2015,Population mid-year estimates for females (millions),918.83,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2015,Sex ratio (males per 100 females),106.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2015,Population aged 0 to 14 years old (percentage),29.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2015,Population aged 60+ years old (percentage),8.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2015,Population density,183.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2015,Surface area (thousand km2),"10,791",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
62,South-central Asia,2019,Population mid-year estimates (millions),"1,991.42",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2019,Population mid-year estimates for males (millions),"1,025.74",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2019,Population mid-year estimates for females (millions),965.68,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
62,South-central Asia,2019,Sex ratio (males per 100 females),106.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2019,Population aged 0 to 14 years old (percentage),28.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
62,South-central Asia,2019,Population aged 60+ years old (percentage),9.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
